,"white, female",,,,,,,,,"white, male",,,,,,,,,"black, female",,,,,,,,,"black, male",,,,,,,,,"asian, female",,,,,,,,,"asian, male",,,,,,,,,"hispanic, female",,,,,,,,,"hispanic, male",,,,,,,,
categories,8,11,12,13,14,16,18,17,22,8,11,12,13,14,16,18,17,22,8,11,12,13,14,16,18,17,22,8,11,12,13,14,16,18,17,22,8,11,12,13,14,16,18,17,22,8,11,12,13,14,16,18,17,22,8,11,12,13,14,16,18,17,22,8,11,12,13,14,16,18,17,22
21,0,"12,550","25,890","20,220","28,480","38,640","40,950","63,292","109,540","26,830","19,180","33,210","23,950","39,360","50,160","131,264","201,449","155,062",0,"11,560","33,750","17,590","26,750","38,820","107,598","56,463","93,972",0,"13,880","29,200","22,250","27,590","52,010","95,797","148,459","108,417",0,"6,920","19,430","16,360","39,759","43,770","146,580","61,506","117,916","3,965","8,781","29,590","19,080","54,432","54,730","142,351","213,872","159,023",0,"18,680","24,850","20,540","27,200","42,890","72,691","72,691","84,074","25,490","23,220","31,320","23,520","33,440","46,260","92,838","108,197","114,724"
30,"25,970","28,240","34,320","39,210","43,010","73,250","75,480","106,900","100,600","38,870","50,650","56,070","58,330","67,960","93,120","101,500","104,200","119,700",0,"35,370","29,990","36,340","38,880","68,470","74,920","56,463","93,972",0,"34,420","46,190","44,570","55,460","76,690","75,450","148,459","108,417",0,"6,920","66,940","37,740","38,600","82,370","103,500","61,506","92,470","3,965","8,781","51,700","41,690","72,750","99,910","126,000","213,872","115,200","24,020","30,910","34,110","40,950","40,700","63,140","75,340","72,691","84,074","31,700","51,080","49,470","57,140","68,090","81,860","92,300","108,197","114,724"
40,"36,690","31,750","39,260","51,840","52,580","82,130","95,910","140,000","145,100","43,270","43,340","66,880","75,470","80,410","128,800","154,600","190,500","177,800",0,"24,540","38,360","41,550","53,240","67,730","95,090","56,463","93,972",0,"33,390","52,680","57,560","59,800","90,710","137,700","148,459","108,417",0,"6,920","36,680","48,790","57,510","89,080","116,900","61,506","171,600","3,965","8,781","66,740","67,860","76,010","131,100","175,600","213,872","168,700","27,260","32,130","36,110","48,730","50,760","75,140","89,570","72,691","84,074","41,540","40,410","54,870","71,940","78,290","104,500","123,600","108,197","114,724"
50,"29,330","32,650","47,980","53,230","59,470","86,250","97,140","174,000","138,900","45,800","62,850","69,300","88,900","82,720","128,100","164,200","229,700","207,000",0,"11,383","44,450","52,740","64,880","74,360","90,460","56,463","93,972",0,"39,100","61,400","56,540","68,060","106,600","128,600","148,459","108,417",0,"6,920","41,510","47,710","50,500","79,210","125,400","61,506","134,800","3,965","8,781","67,600","142,200","54,432","121,100","183,900","213,872","225,400","29,040","33,110","44,700","56,020","68,890","82,170","95,310","72,691","84,074","45,640","54,230","56,430","75,830","66,330","90,740","115,200","108,197","114,724"
60,"27,190","30,640","52,420","55,460","53,620","82,540","89,020","147,500","134,900","44,210","50,470","76,800","79,290","86,720","129,100","163,000","244,900","176,300",0,"11,383","43,050","51,940","56,380","79,280","86,840","56,463","93,972",0,"33,890","52,940","83,480","64,030","95,620","111,200","148,459","108,417",0,"6,920","50,450","70,520","56,090","77,580","109,800","61,506","117,916","3,965","8,781","65,020","63,000","79,820","138,000","175,600","213,872","159,023","27,640","27,890","48,140","45,340","46,450","77,200","71,250","72,691","84,074","43,950","52,880","64,410","74,280","93,740","87,650","126,500","108,197","114,724"
73,"27,290","28,700","34,890","35,820","44,910","50,480","63,390","214,800","105,700","43,180","57,720","56,190","61,610","73,720","87,430","97,680","157,700","105,100",0,"11,383","31,370","40,150","38,200","58,710","72,430","56,463","93,972",0,"11,171","50,900","66,530","61,890","59,210","95,797","148,459","108,417",0,"6,920","41,250","31,832","39,759","61,640","146,580","61,506","117,916","3,965","8,781","52,340","42,099","44,160","92,420","142,351","213,872","159,023","27,590","8,731","33,670","38,430","34,305","47,998","72,691","72,691","84,074","43,140","70,060","54,460","44,182","51,028","70,960","92,838","108,197","114,724"
